source_id,channel_id,fiscal_year,eligible,mature,positive,explicit_negative,unknown,immature,source_opportunity_observed,opportunity_unknown,opportunity_status
sanction_evidence,S3,2015,2244,2244,4,0,2240,0,0,2244,UNKNOWN_NO_OPPORTUNITY_INDICATOR
sanction_evidence,S3,2016,2552,2552,6,0,2546,0,0,2552,UNKNOWN_NO_OPPORTUNITY_INDICATOR
sanction_evidence,S3,2017,2604,2604,3,0,2601,0,0,2604,UNKNOWN_NO_OPPORTUNITY_INDICATOR
sanction_evidence,S3,2018,2582,2582,4,0,2578,0,0,2582,UNKNOWN_NO_OPPORTUNITY_INDICATOR
sanction_evidence,S3,2019,2033,2033,4,0,2029,0,0,2033,UNKNOWN_NO_OPPORTUNITY_INDICATOR
sanction_evidence,S3,2020,2002,2002,7,0,1995,0,0,2002,UNKNOWN_NO_OPPORTUNITY_INDICATOR
sanction_evidence,S3,2021,1965,1965,10,0,1955,0,0,1965,UNKNOWN_NO_OPPORTUNITY_INDICATOR
sanction_evidence,S3,2022,1952,1952,3,0,1949,0,0,1952,UNKNOWN_NO_OPPORTUNITY_INDICATOR
sanction_evidence,S3,2023,1899,1899,9,0,1890,0,0,1899,UNKNOWN_NO_OPPORTUNITY_INDICATOR
sanction_evidence,S3,2024,1870,1870,10,0,1860,0,0,1870,UNKNOWN_NO_OPPORTUNITY_INDICATOR
sanction_evidence,S3,2025,1708,0,0,0,0,1708,0,1708,UNKNOWN_NO_OPPORTUNITY_INDICATOR
