fiscal_year,outer_fold,eligible_rows,mature_rows,positive,explicit_negative,unknown,observed_class_count,fold_role,reason_code
2015,,2244,2244,12,0,2232,1,development_history,NO_OUTER_FOLD
2016,,2552,2552,180,0,2372,1,development_history,NO_OUTER_FOLD
2017,,2604,2604,189,0,2415,1,development_history,NO_OUTER_FOLD
2018,,2582,2582,197,0,2385,1,development_history,NO_OUTER_FOLD
2019,,2033,2033,222,0,1811,1,development_history,NO_OUTER_FOLD
2020,2020,2002,2002,271,0,1731,1,initial_separate,EXPLICIT_NEGATIVE_CLASS_MISSING
2021,2021,1965,1965,267,0,1698,1,prospective_or_descriptive,EXPLICIT_NEGATIVE_CLASS_MISSING
2022,2022,1952,1952,310,0,1642,1,prospective_or_descriptive,EXPLICIT_NEGATIVE_CLASS_MISSING
2023,2023,1899,1899,326,0,1573,1,prospective_or_descriptive,EXPLICIT_NEGATIVE_CLASS_MISSING
2024,2024,1870,1870,285,0,1585,1,prospective_or_descriptive,EXPLICIT_NEGATIVE_CLASS_MISSING
2025,,1708,0,0,0,1708,0,development_history,NO_OUTER_FOLD
