fiscal_year,outer_fold,eligible_rows,mature_rows,immature_rows,l1_positive,l1_explicit_negative,l1_unknown,observed_binary_class_count,fold_role,reason_code
2015,,2244,2244,0,4,0,2240,1,development_history,NOT_AN_OUTER_FOLD
2016,,2552,2552,0,6,0,2546,1,development_history,NOT_AN_OUTER_FOLD
2017,,2604,2604,0,3,0,2601,1,development_history,NOT_AN_OUTER_FOLD
2018,,2582,2582,0,4,0,2578,1,development_history,NOT_AN_OUTER_FOLD
2019,,2033,2033,0,4,0,2029,1,development_history,NOT_AN_OUTER_FOLD
2020,2020,2002,2002,0,7,0,1995,1,initial_separate,EXPLICIT_NEGATIVE_CLASS_MISSING
2021,2021,1965,1965,0,10,0,1955,1,prospective_or_descriptive,EXPLICIT_NEGATIVE_CLASS_MISSING
2022,2022,1952,1952,0,3,0,1949,1,prospective_or_descriptive,EXPLICIT_NEGATIVE_CLASS_MISSING
2023,2023,1899,1899,0,9,0,1890,1,prospective_or_descriptive,EXPLICIT_NEGATIVE_CLASS_MISSING
2024,2024,1870,1870,0,10,0,1860,1,prospective_or_descriptive,EXPLICIT_NEGATIVE_CLASS_MISSING
2025,,1708,0,1708,0,0,0,0,development_history,NOT_AN_OUTER_FOLD
