fiscal_year,source_id,channel_id,panel_rows,mature_rows,positive_current_artifact,explicit_negative_current_artifact,mature_unknown_current_artifact,immature_unclassified,positive_after_event_ledger_fix,mature_unknown_after_event_ledger_fix
2015,sanction_evidence,S3,2244,2244,4,0,2240,0,4,2240
2016,sanction_evidence,S3,2552,2552,6,0,2546,0,6,2546
2017,sanction_evidence,S3,2604,2604,3,0,2601,0,3,2601
2018,sanction_evidence,S3,2582,2582,3,0,2579,0,4,2578
2019,sanction_evidence,S3,2033,2033,4,0,2029,0,4,2029
2020,sanction_evidence,S3,2002,2002,7,0,1995,0,7,1995
2021,sanction_evidence,S3,1965,1965,10,0,1955,0,10,1955
2022,sanction_evidence,S3,1952,1952,3,0,1949,0,3,1949
2023,sanction_evidence,S3,1899,1899,9,0,1890,0,9,1890
2024,sanction_evidence,S3,1870,1870,7,0,1863,0,10,1860
2025,sanction_evidence,S3,1708,0,0,0,0,1708,0,0
