source_id,fiscal_year,raw_values,normalized_category,reason_code,source_opportunity,record_count,failure_count
S2_audit_opinion,2015,,,S2_OPINION_RECORD_MISSING,False,0,1379
S2_audit_opinion,2016,,,S2_OPINION_RECORD_MISSING,False,0,1264
S2_audit_opinion,2017,,,S2_OPINION_RECORD_MISSING,False,0,1320
S2_audit_opinion,2018,,,S2_OPINION_MISSING,False,1,7
S2_audit_opinion,2018,,,S2_OPINION_RECORD_MISSING,False,0,1425
S2_audit_opinion,2019,,,S2_OPINION_RECORD_MISSING,False,0,415
S2_audit_opinion,2020,,,S2_OPINION_RECORD_MISSING,False,0,279
S2_audit_opinion,2021,,,S2_OPINION_RECORD_MISSING,False,0,241
S2_audit_opinion,2022,,,S2_OPINION_MISSING,False,1,1
S2_audit_opinion,2022,,,S2_OPINION_RECORD_MISSING,False,0,172
S2_audit_opinion,2023,,,S2_OPINION_MISSING,False,1,1
S2_audit_opinion,2023,,,S2_OPINION_RECORD_MISSING,False,0,107
S2_audit_opinion,2024,,,S2_OPINION_MISSING,False,1,1
S2_audit_opinion,2024,,,S2_OPINION_RECORD_MISSING,False,0,115
S2_audit_opinion,2025,,,S2_OPINION_RECORD_MISSING,False,0,195
