fiscal_year,firm_year_records,opinion_observed,clean,qualified,disclaimer,adverse,missing,positive,explicit_negative,unknown,duplicate_or_conflicting,normalization_unmapped_or_pending
2015,2244,865,857,7,1,0,1379,8,857,1379,0,0
2016,2552,1288,1113,165,8,2,1264,175,1113,1264,0,0
2017,2604,1284,1098,168,16,2,1320,186,1098,1320,0,0
2018,2582,1150,957,171,19,3,1432,193,957,1432,0,0
2019,2033,1618,1399,190,29,0,415,219,1399,415,0,0
2020,2002,1723,1456,225,40,2,279,267,1456,279,0,0
2021,1965,1724,1466,210,47,1,241,258,1466,241,0,0
2022,1952,1779,1471,249,58,1,173,308,1471,173,0,0
2023,1899,1791,1469,255,66,1,108,322,1469,108,0,0
2024,1870,1754,1477,216,60,1,116,277,1477,116,0,0
2025,1708,1513,1313,153,44,3,195,200,1313,195,0,0
